pref,amInd,asian,black,hispanic,white,occurences
lan,0,0,0,0,0.9835,668
fa,0.006998401,0.004512127,0.003499201,0.016024118,0.955132092,5129
mag,0,0,0.0117,0.0195,0.959,512
ove,0,0,0,0.0136,0.9729,737
lat,0,0,0.0331,0.0307,0.9173,423
fi,0.003237775,0.006841232,0.001904573,0.012242708,0.959702281,8331
mak,0,0,0.011,0.0329,0.9342,638
law,0.0148,0,0,0.0114,0.9387,1485
lap,0.0058,0.0051,0.0442,0.0199,0.9066,4274
mal,0.003619664,0.003178928,0,0.02633624,0.940502044,2202
lar,0.004537812,0,0.010429187,0.024066591,0.933728597,2203
wei,0.007528679,0,0,0.041525472,0.924524717,1060
sp,0.006310122,0.004087617,0.037422554,0.017829285,0.922207335,34765
si,0.022290035,0.005021381,0.01894744,0.0170925,0.924134206,30588
sh,0.002576683,0.003700623,0.039122056,0.008763394,0.933207962,20371
sm,0,0,0.0405,0.0083,0.9232,964
sc,0.002907246,0.003572111,0.006842098,0.01417012,0.958381613,26372
ege,0,0,0,0.0117,0.9668,512
zen,0,0,0,0.9688,0.0284,705
zam,0,0,0,0.0209,0.9583,815
wue,0,0,0,0,0.978,409
le,0.00309116,0.003108759,0.051103705,0.016737161,0.910450756,8665
la,0.011469422,0.00459435,0.040729681,0.018591969,0.90461301,21630
ll,0,0,0,0.9218,0.0686,1253
li,0.001098712,0.004596181,0.037145317,0.015733549,0.92646425,15449
fig,0,0,0,0.0109,0.9891,458
bye,0,0.005,0,0.0207,0.9593,1402
fin,0,0.005213675,0,0.015197531,0.955390408,2106
fil,0,0,0,0.0209,0.9749,478
ya,0.0105,0,0,0.0346,0.9353,665
bau,0,0.0145,0,0.0169,0.9446,415
dad,0,0.0037,0,0.0123,0.9729,1624
qu,0.002026027,0.002032534,0.003678894,0.015849451,0.956897641,2459
shu,0.0035,0.0049,0.0285,0.007,0.9448,8381
tro,0,0,0,0.018,0.9753,445
die,0,0,0,0.0044,0.9842,1583
em,0.003413464,0.006641493,0.002033537,0.020904651,0.951713709,7353
en,0,0.003627128,0.055771822,0.00649674,0.91851782,2761
ei,0,0,0,0,0.9788,471
eh,0,0,0,0,0.9914,467
eg,0,0,0,0.009161496,0.978532005,1631
ec,0,0,0,0.0541,0.9276,980
eb,0,0,0,0,0.9931,435
es,0,0.005069106,0.021337398,0,0.956306098,984
gom,0,0,0,0,0.979,428
goo,0,0,0,0,0.9723,397
gon,0,0,0,0.011585151,0.96287239,862
smy,0,0,0.0405,0.0083,0.9232,964
blu,0,0,0,0.0109,0.9708,548
den,0,0,0,0,0.9715,456
rei,0.002071359,0.003751143,0.002390048,0.009571679,0.97148514,12510
rem,0,0,0,0,0.9793,435
reb,0,0.0102,0,0.0102,0.9573,586
ro,0.002351979,0.003762576,0.017551957,0.032268363,0.931506263,9021
rh,0,0,0,0.01,0.9789,804
gor,0.018663827,0.004040622,0.029919847,0.018067145,0.917140318,32519
asp,0.0181,0,0,0.0173,0.9456,1214
pud,0,0,0,0.0272,0.9432,405
qua,0,0,0.006116565,0.021616498,0.951992089,1479
orm,0,0,0.0105,0.0175,0.944,571
por,0.0017,0.0044,0.0045,0.9268,0.0576,24008
qui,0.005083673,0.0051,0,0.007145918,0.96430102,980
ehr,0,0,0,0,0.9914,467
cus,0.007105059,0.004875351,0.022980045,0.011750141,0.94283561,14232
isa,0.0108,0,0,0.9257,0.0575,835
zan,0,0,0,0.0267,0.9425,487
zah,0,0.009032294,0,0.012555282,0.935121278,1988
zab,0.0325,0,0,0.0137,0.9366,584
con,0.012177363,0.005150283,0.024449199,0.030578411,0.907276352,8305
pop,0,0.0064,0,0.0102,0.9644,786
lau,0,0.0075,0,0.0188,0.9653,1065
zaw,0,0,0,0.0126,0.9762,714
zar,0,0,0,0.0109,0.9672,548
lav,0.0077,0.0047,0.0502,0.0195,0.9037,1693
koh,0.00290141,0.008739424,0.017085029,0.016679872,0.942388426,19932
jew,0.0144,0,0,0.0353,0.9422,623
fl,0,0,0,0.0182,0.9727,440
tot,0,0.0082,0,0.0118,0.9565,850
clo,0,0,0.0543,0.0104,0.9215,2396
ton,0,0.0194,0,0.0387,0.9249,413
too,0,0,0.9183,0.0295,0.0363,881
tom,0.003908319,0.007816639,0.0368866,0.018412004,0.915695924,1791
jeo,0,0.92,0.0071,0.032,0.0207,2126
huf,0,0,0,0.0122,0.974,576
eli,0.003227772,0,0,0.952658988,0.036576642,1858
ogn,0,0,0,0,0.9852,542
huy,0,0,0,0.0178,0.9762,505
