Gram,Ethnicity,Occurences
xic,3,440
xid,3,843
xil,4,399
euh,4,3921
xin,1,1176
xio,1,28906
toj,3,10954
toh,4,1890
xit,1,664
too,4,63842
toc,4,101610
dth,4,521
tof,4,18008
tog,4,6770
tod,4,93299
toe,4,13166
gya,4,2085
gsp,4,467
gyl,4,1072
gyi,4,2109
nbu,4,77699
iav,4,7081
nzw,4,2479
nzu,3,47398
tsi,4,9542
tez,3,134608
iap,4,3289
nzb,4,416
nza,3,885499
kto,4,13489
nze,4,65960
epw,4,1728
nzk,4,421
kte,4,3990
iar,4,93124
kta,1,3502
nzm,4,2827
nzl,4,6379
raf,4,159304
rsl,4,35529
ryk,4,4654
lbr,4,127149
lbu,4,67429
pyk,4,1596
cyr,4,17211
lby,4,50665
ths,4,24471
rak,4,125567
eps,4,20008
apu,4,17640
rau,4,253585
rar,4,131082
rap,4,91768
lbf,4,641
lbi,4,11128
ogy,4,584
lbl,4,1552
rsi,4,22888
ypp,2,969
erx,4,435
rsk,4,57723
epl,4,34120
udz,4,8663
ypa,4,794
ype,4,4793
yph,4,4491
ypn,4,588
ypo,4,6863
vgr,4,550
thj,4,1823
tym,4,2478
tyn,4,20891
tyo,4,1069
bye,4,45511
tyj,4,2288
tyk,4,2390
bst,4,94100
tye,4,8528
tyg,4,528
apk,4,3168
tya,4,2395
tyb,4,780
thg,4,3154
bsh,4,9117
xn,4,6245
bsk,4,1932
tyu,4,562
ogr,4,12894
bsa,4,512
tyr,4,69827
kuz,4,3427
ogm,4,1927
doh,4,33749
doi,4,19483
doo,4,45510
ogl,4,77417
doc,4,85041
lps,4,51656
dod,4,101082
doe,4,31159
lpo,4,13457
kuw,1,453
lpl,4,703
xbu,4,740
cyg,4,1100
lpe,4,35084
dow,4,336806
dot,4,58951
rsy,4,19695
kut,4,9899
udd,4,99874
smu,4,49733
kus,4,37852
kur,4,50100
oge,4,368734
pka,4,11271
rsu,4,3417
suh,1,5840
udh,1,10516
oci,4,10080
ock,4,1063461
ocl,4,494
oco,4,140005
hrz,4,2850
hru,4,20677
hrt,4,2651
occ,4,41985
hrs,4,7190
udo,4,48010
hrm,4,20225
hrl,4,11134
hro,4,153017
hrn,4,1149
hri,4,422090
hrh,4,2279
hrk,4,5742
ztu,4,412
hrd,4,827
rss,4,5133
hra,4,149456
zts,4,1370
hrb,4,3790
dn,4,269956
yfe,4,3684
yff,4,2740
