suff,amInd,asian,black,hispanic,white,occurences
pil,0.0,0.0,0.0,0.0,0.9824,398
iny,0.00182705099778,0.00557631189948,0.00408041389505,0.0106962675536,0.967118292683,2706
inl,0.0,0.0,0.0,0.0,0.9758,414
inh,0.0,0.955932335575,0.0,0.00630814744957,0.0180825487945,24388
ini,0.000558799232794,0.0238206084125,0.0032166349971,0.0480294571569,0.90413514965,112095
ink,0.00433987882025,0.00464139632962,0.0262547482021,0.0119553301596,0.941310047054,108599
ind,0.0184852324406,0.00821943742631,0.0194416035035,0.0338807099545,0.904426869631,23748
pis,0.0,0.0,0.00422744360902,0.0131387218045,0.96757481203,2128
pit,0.00879353233831,0.00231144278607,0.0581706467662,0.0103517412935,0.903191044776,2613
oag,0.00676338400529,0.0113624851289,0.0183760343688,0.0164071513549,0.933622181097,7565
oaf,0.0,0.0,0.0263,0.0153,0.9377,3195
oad,0.0137757218008,0.00428666503548,0.0162616222168,0.0147203572302,0.934887668216,16348
oam,0.0,0.0146,0.0187,0.027,0.9127,481
mch,0.0,0.0,0.0,0.009,0.9831,886
oak,0.00345187264416,0.00665367711926,0.0282385596279,0.0119278691154,0.935675779934,12469
hpi,0.0,0.0,0.0,0.9736,0.0264,455
oas,0.0,0.0,0.0149,0.0356,0.9163,872
oar,0.00417330088649,0.0054019641926,0.0488620198157,0.0111343125326,0.917783643317,5753
yme,0.0,0.0,0.0,0.0053,0.9808,938
ubs,0.0,0.0,0.0,0.00385820433437,0.981421981424,1292
uby,0.00502595176805,0.00842015309579,0.019430876575,0.0357195434223,0.918161705731,14762
ube,0.00274261260258,0.00903205970814,0.00881056774721,0.0166665812632,0.949975255282,26931
ubb,0.0064312857573,0.00373644771368,0.0275171333936,0.00999674366585,0.942296571601,23247
hne,0.00340977831431,0.00506422300263,0.00319373353819,0.0194360842845,0.952702315628,9112
cid,0.0021,0.0036,0.0047,0.9497,0.034,3379
eos,0.00534451959764,0.00661311134235,0.00731788067985,0.900644103365,0.0752537460978,5766
lod,0.0,0.0,0.0,0.0122,0.9708,411
gaj,0.0,0.0186,0.0,0.0,0.9326,430
