pattern,black,white,amInd,asian,hispanic
bar/ier,0.0912045149754,0.862779526151,0.00357586052749,0.0,0.0272510505141
bar/ik,0.0,0.979564906303,0.0,0.0,0.0068066439523
bar/in,0.0607912918316,0.897438215185,0.00179201151493,0.00432472112271,0.0205366678661
bar/ing,0.0,0.9412,0.0,0.0088,0.0318
bar/is,0.112886624204,0.781698089172,0.0,0.0173643312102,0.0648420382166
bar/jas,0.0017,0.0328,0.0018,0.0017,0.9597
bar/kin,0.1088,0.8702,0.0,0.0,0.0134
bar/ko,0.0,0.9811,0.0,0.0,0.013
bar/kus,0.108646766169,0.859868988391,0.0,0.0,0.00910812603648
bar/la,0.00235570736554,0.233911327785,0.00915136007949,0.0074571109179,0.734835647746
bar/li,0.0051,0.9403,0.0,0.0061,0.0314
bar/los,0.0,0.836447091109,0.0,0.0197998902305,0.0559788144896
bar/man,0.00518720090293,0.941107200903,0.00788993227991,0.0216924379233,0.0110763656885
bar/mann,0.0,0.9772,0.0,0.0,0.0
bar/nes,0.2823,0.6745,0.0072,0.004,0.0149
bar/nik,0.0,0.9858,0.0,0.0,0.0
bar/ny,0.0,0.949,0.0,0.0,0.0232
bar/o,0.0141034541691,0.518056152513,0.00107639129598,0.0229398926439,0.427150481417
bar/ok,0.0,0.9471,0.0091,0.0,0.0166
bar/on,0.0782595215712,0.754536922896,0.00898210261909,0.00601331213185,0.139150063898
bar/ot,0.0048666040218,0.879716500658,0.0182384326254,0.0708327945875,0.00976658522834
bar/ow,0.150274120161,0.803734459804,0.0090403562851,0.0039830443087,0.0170109608729
bar/ros,0.0594870763929,0.395926076967,0.00662960941987,0.0258354394026,0.337302527283
bar/ski,0.0,0.97584540012,0.0,0.00158002394732,0.012767970465
bar/son,0.0422525369979,0.917571723044,0.0105776955603,0.00261923890063,0.0105776955603
bar/stad,0.0,0.9483,0.0,0.0,0.0318
bar/tos,0.00220605961349,0.196308483459,0.0023,0.0238081886669,0.77104231903
bar/us,0.0583784519573,0.900027704626,0.0057053202847,0.00286982206406,0.0153025800712
bar/well,0.3186,0.6477,0.0033,0.0046,0.0128
bar/za,0.0131082773597,0.104563279632,0.00279652542801,0.00468790970153,0.855355532549
bath/gate,0.0,0.9795,0.0,0.0,0.0
ben/ak,0.0,0.9671,0.0,0.0,0.0164
ben/an,0.0,0.9756,0.0,0.0,0.0105
ben/ard,0.3015,0.5984,0.0083,0.0028,0.0732
ben/brook,0.0,0.9575,0.0,0.0,0.0106
ben/dorf,0.0,0.9719,0.0,0.0,0.0
ben/enko,0.0028,0.9573,0.004,0.0091,0.0137
ben/ent,0.247,0.6626,0.0052,0.0052,0.0505
ben/er,0.0448818702909,0.921297483687,0.00549802624464,0.00407029092613,0.0119632196546
ben/et,0.207346942149,0.711475206612,0.00703933884298,0.00586611570248,0.0507975206612
ben/ez,0.00453610735533,0.0568214507842,0.00302348566793,0.0155908464035,0.915900601677
ben/ford,0.6924,0.2688,0.0013,0.0035,0.0168
ben/i,0.00114759551416,0.928907318,0.000948013685611,0.00324320471393,0.047336209846
ben/in,0.388144335255,0.53705685319,0.0092727632042,0.017953647906,0.0237504128428
ben/ing,0.160522208411,0.804869214833,0.00164922311995,0.00226768178993,0.0114279883986
ben/is,0.0174,0.9291,0.0128,0.0105,0.0163
ben/kin,0.078,0.84,0.0,0.0,0.042
ben/ko,0.0028,0.9573,0.004,0.0091,0.0137
ben/man,0.0,0.9756,0.0,0.0,0.0105
ben/nes,0.0109,0.9265,0.0,0.0,0.0449
ben/ny,0.0627,0.739,0.0486,0.0945,0.0215
ben/o,0.00426313480028,0.699167897012,0.00760795637865,0.0525998064141,0.207263657482
ben/off,0.0,0.9621,0.0,0.0,0.0267
ben/ok,0.0,0.9575,0.0,0.0,0.0106
ben/on,0.168446568323,0.788452458334,0.00743292562934,0.00533368099181,0.0151413640423
ben/ow,0.3699,0.5881,0.0042,0.0033,0.0158
ben/sen,0.0138578891258,0.944023347548,0.00322436034115,0.00583128997868,0.0191967484009
ben/son,0.149105190253,0.8076654597,0.00718048241453,0.00584797468496,0.0153997823442
bet/ard,0.0,0.9477,0.0,0.0153,0.0218
bet/court,0.0080332103321,0.334368265683,0.00277896678967,0.00380885608856,0.634483763838
bet/dorf,0.0,0.9348,0.0,0.0143,0.0428
bet/ell,0.0888,0.8925,0.0,0.0,0.0
bet/er,0.0186556978233,0.939103841229,0.0,0.00273676605085,0.0233902140113
bet/ers,0.2128,0.7124,0.0151,0.0053,0.0223
bet/i,0.0,0.9141,0.0,0.0,0.0519
bet/in,0.0089,0.9733,0.0,0.0,0.0089
bet/is,0.2348,0.7165,0.0071,0.0032,0.0168
bet/ny,0.3377,0.6153,0.0131,0.0,0.0186
bet/on,0.25720420354,0.673089159292,0.00719469026549,0.0,0.0232601769912
bet/ridge,0.0,0.9675,0.0,0.0,0.0
bet/sen,0.0,0.9909,0.0,0.0,0.0
bin/an,0.0121355586144,0.959118880477,0.00574806148199,0.00341043817389,0.00573243863271
bin/er,0.0452278073947,0.923496852966,0.0017468099742,0.00432543422184,0.0149628718831
bin/ford,0.2435,0.7102,0.0038,0.0076,0.0175
bin/i,0.0,0.965809650924,0.00749897330595,0.0,0.0143552361396
bin/in,0.0,0.1566,0.0,0.6627,0.1084
bin/ing,0.342633596018,0.574494110328,0.00185163832435,0.0446129406885,0.0126187474077
