elerding,1,('white', 0.971)
elvee,1,('white', 0.9706)
elzawahry,-1,(0.5787037037037037, 'walzer')
enrioquez,1,('hispanic', 0.7784)
eottos,-1,(0.7777777777777778, 'tosto')
ergamo,-1,(0.8611111111111112, 'gamero')
eynis,-1,(0.5888888888888889, 'linsey')
faggiano,-1,(0.8690476190476191, 'gagliano')
faulkenberugh,-1,(0.8675213675213675, 'faulkenberry')
fauraie,-1,(0.7936507936507936, 'fiumara')
feldman-harvey,-1,(0.7159391534391535, 'halderman')
folkmar,-1,(0.621031746031746, 'romack')
forington,-1,(0.7962962962962963, 'torino')
forthner,-1,(0.7527777777777778, 'rohwer')
fortuna-garcia,-1,(0.47089947089947093, 'garritano')
gachini,-1,(0.7830687830687831, 'taniguchi')
gaikowski,-1,(0.8518518518518517, 'dabkowski')
galeana-munoz,-1,(0.6801282051282053, 'magallanez')
galluba,-1,(0.7936507936507936, 'abdulla')
galyanurova,-1,(0.6618566618566619, 'cavagnaro')
gannamaneedi,-1,(0.7388888888888889, 'mangiapane')
gannpathi,-1,(0.7296296296296295, 'gaitan')
garaine,-1,(0.7857142857142857, 'yeargain')
garnock-jones,-1,(0.5982905982905983, 'ackerson')
garza-white,-1,(0.869023569023569, 'garthwaite')
gazeley nedonna,-1,(0.652910052910053, 'engelmann')
geddis,1,('white', 0.5283)
genecki,-1,(0.8492063492063493, 'gericke')
george-adebayo,-1,(0.6150793650793652, 'oceguera')
getzjr,-1,(0.8888888888888888, 'getz')
ghasadehi,-1,(0.7830687830687831, 'sadeghi')
gibino,-1,(0.7555555555555556, 'binion')
giurca,-1,(0.8194444444444445, 'pagliuca')
gjorsovski,-1,(0.7111111111111111, 'roskos')
glowa,-1,(0.7833333333333333, 'golas')
goczkowski,1,('white', 0.932)
gonzalez-andazola,-1,(0.6454248366013072, 'andazola')
graffton,-1,(0.7416666666666667, 'fargo')
guirlando,-1,(0.8796296296296297, 'guardino')
hart-joshi,-1,(0.6380952380952382, 'tashiro')
hartfolis,-1,(0.7023809523809524, 'tashiro')
hartzavolos,-1,(0.5909090909090909, 'avalos')
haseleu,-1,(0.8214285714285715, 'houseal')
havrychevych,-1,(0.5472222222222224, 'vanscyoc')
heinjus,-1,(0.6654761904761904, 'jines')
herpers,-1,(0.8571428571428572, 'repsher')
hewwett,-1,(0.7071428571428572, 'tweet')
hillefheim,1,('white', 0.9740000000000001)
hilshansky,-1,(0.8285714285714286, 'shinsky')
ho-mau,-1,(0.6972222222222223, 'maheu')
hoffnwe,-1,(0.7380952380952381, 'niehoff')
houdershelt,-1,(0.7590909090909091, 'hufstedler')
housni,-1,(0.7888888888888891, 'husson')
inacio rivera,-1,(0.5982905982905983, 'cavalieri')
irps,-1,(0.8083333333333332, 'pires')
iseanyi,-1,(0.8047619047619049, 'saini')
iwasczyszyn,-1,(0.5984848484848485, 'szewczyk')
jabloncki,-1,(0.8068783068783069, 'jacklin')
jelonnek,-1,(0.7579365079365079, 'olejnik')
jenani,-1,(0.7777777777777778, 'benjamin')
jenkinswalla,-1,(0.7146464646464646, 'santaniello')
jeslis,-1,(0.8111111111111112, 'jiles')
johnson markve,-1,(0.6164021164021164, 'hermanson')
jomas,-1,(0.8666666666666667, 'mas')
jones-pfaff,-1,(0.6242424242424242, 'jeffs')
jonqui,-1,(0.8111111111111112, 'oquin')
jpelletier,1,('white', 0.9658)
jugasek,-1,(0.8047619047619049, 'gause')
julianel,1,('white', 0.7706999999999999)
jumapayeva,-1,(0.7111111111111111, 'jaquay')
kadohiro,-1,(0.6416666666666666, 'dorko')
kalibala,-1,(0.7630952380952382, 'cabanillas')
kaplan-birkby,-1,(0.5698717948717948, 'fairbank')
kaptsan,-1,(0.8492063492063493, 'kapusta')
karibyay,-1,(0.6, 'rybka')
kerese,-1,(0.8492063492063492, 'keesler')
kinnikin,-1,(0.8690476190476191, 'kinnick')
kirsnis,-1,(0.7301587301587302, 'rosinski')
kirtay,-1,(0.8055555555555555, 'rita')
kishiyana,-1,(0.8518518518518517, 'nishiyama')
klingauf,-1,(0.5499999999999999, 'galik')
kociak,-1,(0.8690476190476191, 'kovacik')
kodnovich,-1,(0.8888888888888888, 'kovich')
kolbeck,1,('white', 0.9756999999999999)
korzinska,-1,(0.7652116402116401, 'konarski')
kostyal,1,('white', 0.9779000000000001)
kottutt,-1,(0.7071428571428572, 'stott')
kranieiois,-1,(0.6592592592592593, 'winiarski')
krasnoshapka,-1,(0.6765873015873017, 'prohaska')
kravcak,1,('white', 0.9732)
kuczmarek,-1,(0.6296296296296297, 'mucker')
kukosky,-1,(0.8047619047619049, 'kosky')
kupfberg,1,('white', 0.9684999999999999)
laduzinski,-1,(0.8546296296296297, 'rudzinski')
le rand,-1,(0.8134920634920636, 'lander')
lehmann shaw,-1,(0.75, 'hanselman')
lemesnager,-1,(0.812962962962963, 'messenger')
lichowic,-1,(0.6797619047619049, 'niccoli')
lionetto,-1,(0.75, 'leonetti')
lomax-tate,-1,(0.8523809523809525, 'lamotte')
lombardelli,-1,(0.7373737373737373, 'nardiello')
lomiglio,1,('white', 0.5259)
lorenzo ruiz,-1,(0.6166666666666667, 'rozier')
louizides,-1,(0.6566137566137565, 'diluzio')
loustanau,-1,(0.8783068783068783, 'sultana')
luttrell-smith,-1,(0.8571428571428571, 'luttrell')
macrossie,-1,(0.8068783068783069, 'marsico')
macrow,-1,(0.6666666666666666, 'wascom')
madbull,-1,(0.6825396825396824, 'dumlao')
maihui,-1,(0.6666666666666666, 'mui')
maliqis,-1,(0.6825396825396824, 'ismail')
malkoc,-1,(0.8444444444444446, 'macko')
mamsey,-1,(0.8777777777777778, 'mayes')
marflake,-1,(0.75, 'amaker')
marthos,-1,(0.7825396825396824, 'mastro')
matayor,-1,(0.7825396825396824, 'magyar')
matshaba,-1,(0.7222222222222222, 'basham')
mayapis,-1,(0.6654761904761904, 'sapia')
mc gillem,-1,(0.8055555555555555, 'mcmiller')
mccankey,-1,(0.8611111111111112, 'mackey')
mcgeel,1,('white', 0.6494)
mdalla,-1,(0.8777777777777778, 'dalal')
megerdechian,-1,(0.5944444444444444, 'gardenhire')
melingagio,-1,(0.6444444444444445, 'maglione')
mentegatos,-1,(0.6444444444444445, 'matteson')
messelt,-1,(0.7071428571428572, 'estes')
messiinger,-1,(0.8925925925925925, 'iseminger')
