,,,,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0001
abad,0,-1,,0,0,0,0,0,0,0,0,0,0
abatzisnasi,0,-1,,0,0,0,0,0,0,0,0,0,0
abbasali,0, ('white',0.639807327,0,0,0,1,1,1,1,1,1,1
abbasszadeh,0,-1,,0,0,0,0,0,0,0,0,0,0
abdog,0,-1,,0,0,0,0,0,0,0,0,0,0
abed-ali,0, ('white',0.639807327,0,0,0,1,1,1,1,1,1,1
aberli,0, ('white',0.639807327,0,0,0,1,1,1,1,1,1,1
abkison,0, ('white',0.722337889,0,0,1,1,1,1,1,1,1,1
abrabshian,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
abu-bakir,1, ('hispanic',0.955138914,1,1,1,1,1,1,1,1,1,1
abuatieh,1, ('hispanic',0.955138914,1,1,1,1,1,1,1,1,1,1
abugazar,1, ('hispanic',0.955138914,1,1,1,1,1,1,1,1,1,1
abugroun,1, ('hispanic',0.955138914,1,1,1,1,1,1,1,1,1,1
abuliel,1, ('hispanic',0.955138914,1,1,1,1,1,1,1,1,1,1
accuttoroop,0,-1,,0,0,0,0,0,0,0,0,0,0
ackins,0,-1,,0,0,0,0,0,0,0,0,0,0
acosta-javier,0, ('white',0.802893073,0,1,1,1,1,1,1,1,1,1
adam-puntoni,0,-1,,0,0,0,0,0,0,0,0,0,0
adamezuk,0, ('white',0.831788684,0,1,1,1,1,1,1,1,1,1
adbulwahid,0,-1,,0,0,0,0,0,0,0,0,0,0
adepitan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
afanasyuk,0, ('white',0.831788684,0,1,1,1,1,1,1,1,1,1
agakos,0, ('white',0.949173838,1,1,1,1,1,1,1,1,1,1
agapinan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
agbifit,0,-1,,0,0,0,0,0,0,0,0,0,0
agherbi,0,-1,,0,0,0,0,0,0,0,0,0,0
agirbaser,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
agnella,0, ('hispanic',0.61644228,0,0,0,1,1,1,1,1,1,1
agnew,0,-1,,0,0,0,0,0,0,0,0,0,0
agoye,0,-1,,0,0,0,0,0,0,0,0,0,0
agredo,0,-1,,0,0,0,0,0,0,0,0,0,0
agrimanakis,0, ('white',0.670444124,0,0,0,1,1,1,1,1,1,1
aguirre-ayon,0, ('white',0.708743068,0,0,1,1,1,1,1,1,1,1
ahlermeyer,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
ahmakak,0, ('white',0.889889096,0,1,1,1,1,1,1,1,1,1
aidid,0,-1,,0,0,0,0,0,0,0,0,0,0
ainsworth-griffin,0, ('white',0.758582714,0,0,1,1,1,1,1,1,1,1
airisa,0,-1,,0,0,0,0,0,0,0,0,0,0
aitalla,0, ('hispanic',0.61644228,0,0,0,1,1,1,1,1,1,1
aizi,0,-1,,0,0,0,0,0,0,0,0,0,0
ajala-agbo,0,-1,,0,0,0,0,0,0,0,0,0,0
ajjazi,0,-1,,0,0,0,0,0,0,0,0,0,0
akagi,0,-1,,0,0,0,0,0,0,0,0,0,0
akhiar,0,-1,,0,0,0,0,0,0,0,0,0,0
akuaku,0,-1,,0,0,0,0,0,0,0,0,0,0
al,0,-1,,0,0,0,0,0,0,0,0,0,0
al,0,-1,,0,0,0,0,0,0,0,0,0,0
al-bashari,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
al-housh,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alanani,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alaris,0, [('white',0.30874503,0,0,0,0,0,0,1,1,1,1
alarves,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alayachew,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alayon,0, [('white',0.615590065,0,0,0,1,1,1,1,1,1,1
albalia,0, [('white',0.21792733,0,0,0,0,0,0,0,1,1,1
albariandr,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
albekier,0, [('white',0.968622417,1,1,1,1,1,1,1,1,1,1
alberswerth,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
albizar,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alexander-long,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alfarino,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alford-harkey,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
algutaini,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alimjan,0, [('white',0.629741641,0,0,0,1,1,1,1,1,1,1
aljehmi,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
all-heintz,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
allagbe,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alloy,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
almobodar,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
almonrode,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
almyashova,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alparaque,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alpsu,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alsiadi,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alsuwaieyh,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alvarez-jr,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
alworden,0, ('white',0.530100228,0,0,0,0,1,1,1,1,1,1
amado,0,-1,,0,0,0,0,0,0,0,0,0,0
amassnaou,0, ('asian',0.650605102,0,0,0,1,1,1,1,1,1,1
ambaram,0,-1,,0,0,0,0,0,0,0,0,0,0
ambrocil,0,-1,,0,0,0,0,0,0,0,0,0,0
amirdache,0,-1,,0,0,0,0,0,0,0,0,0,0
amrutiya,0,-1,,0,0,0,0,0,0,0,0,0,0
amukobole,0,-1,,0,0,0,0,0,0,0,0,0,0
amut,0,-1,,0,0,0,0,0,0,0,0,0,0
ancaya-lujan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
