ITTNER	('white', 0.9517)	('white', 'dutch')
CASIO	('hispanic', 0.4865)	-1
MOLCHAN	('white', 0.9781)	('white', 'turkish')
NETTESHEIM	('white', 0.9887999999999999)	-1
HAGARTY	('white', 0.9723)	-1
ARTH	('white', 0.9669)	None
DENNEHY	('white', 0.9645999999999999)	-1
DELORIA	('white', 0.8398)	('white', 'abkhaz')
WANDEL	('white', 0.9745)	-1
HISLE	('white', 0.8896999999999999)	-1
DETAMORE	('white', 0.9586)	-1
BOYNTON	('white', 0.8468000000000001)	('white', 'french')
LOUIS	('black', 0.5708)	('white', 'lithuanian')
RININGER	('white', 0.9651000000000001)	('white', 'dutch')
REAUME	('white', 0.9709)	-1
SHAWVER	('white', 0.9537)	('white', 'dutch')
WANDER	('white', 0.9118)	('white', 'dutch')
LOUIE	('asian', 0.8075)	-1
RIDDICK	('black', 0.6899)	-1
SZCZEPANSKI	('white', 0.9687)	('white', 'polish')
RUMLER	('white', 0.9682999999999999)	('white', 'dutch')
PREBLE	('white', 0.9520000000000001)	-1
FREITAS	('white', 0.7818)	('white', 'greek')
ROYER	('white', 0.9423)	('white', 'dutch')
ELLERS	('white', 0.9499)	('white', 'dutch')
BRIMHALL	('white', 0.9675)	-1
MOWELL	('white', 0.9745999999999999)	('white', 'english')
STOFFERS	('white', 0.9659)	('white', 'dutch')
FREITAG	('white', 0.9584999999999999)	-1
ELLERY	('white', 0.7519)	-1
BERCIER	('amInd', 0.4597)	('white', 'french')
HEHL	('white', 0.9781)	None
SPEZIALE	('white', 0.9688)	-1
COHN	('white', 0.9190999999999999)	None
CLELLAND	('white', 0.9559000000000001)	('white', 'french')
ABAD	('hispanic', 0.4628)	None
DETTLING	('white', 0.9645999999999999)	('white', 'anglo-saxon')
HAXTON	('white', 0.9320999999999999)	('white', 'french')
KREIFELS	('white', 0.9961)	-1
GILBERTI	('white', 0.9741)	-1
TOUSSAINT	('black', 0.6453)	-1
THRONSON	('white', 0.9620000000000001)	('white', 'icelandic')
ROXAS	('asian', 0.8326)	('white', 'greek')
LOPRESTO	('white', 0.9248000000000001)	-1
LE	('asian', 0.9515)	None
LOPRESTI	('white', 0.9576)	-1
NAEGLE	('white', 0.9420999999999999)	-1
LA	('asian', 0.9078)	None
LO	('asian', 0.9193000000000001)	None
LI	('asian', 0.9643999999999999)	None
CECCHI	('white', 0.9134)	-1
LU	('asian', 0.9573)	None
DROUILLARD	('white', 0.8653)	('white', 'french')
OCONNELL	('white', 0.9643)	('white', 'english')
LY	('asian', 0.9451999999999999)	None
WAHLE	('white', 0.9752)	-1
LARIVEE	('white', 0.9776)	-1
HEAD	('white', 0.8033)	None
MOLLENHAUER	('white', 0.9714)	('white', 'dutch')
REAVES	('white', 0.5821999999999999)	('white', 'greek')
DILIBERTO	('white', 0.9554)	-1
HEAL	('white', 0.7020000000000001)	None
SPRATLIN	('white', 0.912)	('white', 'french')
DILORENZO	('white', 0.9555)	-1
BOOSE	('white', 0.5622)	-1
VANWYK	('white', 0.9616)	('white', 'belarusian')
HITTNER	('white', 0.9669)	('white', 'dutch')
HEAP	('white', 0.9262)	None
BERNINGER	('white', 0.9823000000000001)	('white', 'dutch')
CAMPIONE	('white', 0.9675)	-1
LEVEQUE	('white', 0.8332999999999999)	-1
DORNFELD	('white', 0.9837)	-1
SARTORI	('white', 0.9656999999999999)	-1
LESAGE	('white', 0.8801000000000001)	-1
NAPOLITANO	('white', 0.9544)	('white', 'italian')
SMEDBERG	('white', 0.963)	('white', 'german')
LOOSE	('white', 0.97)	-1
GEHRING	('white', 0.9662000000000001)	('white', 'anglo-saxon')
BRINGLE	('white', 0.9551999999999999)	-1
BERINGER	('white', 0.9664)	('white', 'dutch')
MORAGA	('hispanic', 0.775)	-1
DELPRETE	('white', 0.9478)	-1
LASTRAPES	('black', 0.5885)	('white', 'greek')
FINEBERG	('white', 0.9601000000000001)	('white', 'german')
HARLING	('white', 0.7301000000000001)	('white', 'anglo-saxon')
GUTRIDGE	('white', 0.9131999999999999)	-1
HALLSTROM	('white', 0.9658)	-1
GUERRINI	('white', 0.9470999999999999)	-1
WENDORF	('white', 0.9662000000000001)	('white', 'german')
BLAKEMAN	('white', 0.9454)	('white', 'dutch')
LOFFREDO	('white', 0.9493)	-1
AMBER	('white', 0.8425)	('white', 'dutch')
TOWNSEL	('black', 0.768)	-1
SPEEGLE	('white', 0.9505)	-1
THAXTON	('white', 0.7494)	('white', 'french')
BERARDI	('white', 0.9616)	-1
PALMERI	('white', 0.937)	-1
HYLE	('white', 0.961)	None
HOPGOOD	('black', 0.5178)	-1
LIZARRAGA	('hispanic', 0.9381999999999999)	-1
PALMERO	('hispanic', 0.46340000000000003)	('hispanic', 'spanish')
VIGORITO	('white', 0.9639)	-1
LESANE	('black', 0.9451999999999999)	-1
OLEARY	('white', 0.9512999999999999)	-1
GOURLEY	('white', 0.9634)	-1
FIERROS	('hispanic', 0.9481)	('white', 'greek')
SHAKER	('white', 0.8402)	('white', 'dutch')
DEYARMIN	('white', 0.9872)	('white', 'dutch')
LOESER	('white', 0.9584999999999999)	('white', 'dutch')
STUDSTILL	('white', 0.6758)	-1
SAMMUT	('white', 0.9275)	-1
NIHART	('white', 0.9734)	-1
SAGER	('white', 0.9438)	('white', 'dutch')
HIGH	('white', 0.7152)	None
SAGEN	('white', 0.9477)	-1
AURELIO	('white', 0.5855)	-1
HIGA	('asian', 0.7873)	None
KHUU	('asian', 0.9695)	None
GEIER	('white', 0.9709)	('white', 'french')
SPONSLER	('white', 0.9728)	('white', 'dutch')
HITCHNER	('white', 0.9638)	('white', 'dutch')
OLCZAK	('white', 0.9898)	('white', 'polish')
COOLEY	('white', 0.8016)	-1
BURZYNSKI	('white', 0.9672)	('white', 'polish')
YEATS	('white', 0.9497)	-1
ALIKHAN	('asian', 0.7027)	('white', 'turkish')
POLITZ	('white', 0.9754999999999999)	('white', 'german')
SELFRIDGE	('white', 0.9498000000000001)	-1
FURBEE	('white', 0.9691)	-1
KOSTRZEWA	('white', 0.9556999999999999)	-1
CZAPLA	('white', 0.9662999999999999)	('white', 'finnish')
TERESI	('white', 0.9448000000000001)	-1
KAYES	('white', 0.9243000000000001)	('white', 'greek')
BOLIVER	('white', 0.9095)	('white', 'dutch')
KUZNIAR	('white', 0.9769)	-1
LOBEL	('white', 0.9473999999999999)	-1
SIERS	('white', 0.8761)	('white', 'dutch')
ETHERIDGE	('white', 0.7646999999999999)	-1
DEZIEL	('white', 0.9762000000000001)	-1
MAISCH	('white', 0.9577)	-1
SAADEH	('white', 0.8181999999999999)	-1
MAJEWSKI	('white', 0.9716)	('white', 'polish')
LANDAVERDE	('hispanic', 0.9520000000000001)	-1
MORTENSEN	('white', 0.9503)	('white', 'danish')
JARMAN	('white', 0.8715)	('white', 'dutch')
EPPERLY	('white', 0.9598)	-1
PERKINS	('white', 0.7152)	-1
REDDICK	('black', 0.5171)	-1
CARLSTROM	('white', 0.9726)	-1
SCHNUR	('white', 0.9652)	-1
TORIBIO	('hispanic', 0.8306999999999999)	-1
FREENEY	('black', 0.8172)	-1
PARSLOW	('white', 0.9595)	('white', 'russian')
ROSZAK	('white', 0.9765)	('white', 'polish')
RUSCONI	('white', 0.9301999999999999)	-1
BUCHANAN	('white', 0.7992)	('white', 'romanian')
WINBERRY	('white', 0.9656)	-1
LINZEY	('white', 0.8116)	-1
DUPLECHIN	('white', 0.9431999999999999)	('white', 'dutch')
COGBURN	('white', 0.9064)	-1
ANDRINGA	('white', 0.9702)	-1
TIPPIE	('white', 0.9257)	-1
MCBRIEN	('white', 0.951)	-1
PANNIER	('white', 0.971)	('white', 'french')
WINCH	('white', 0.9638)	-1
PAYE	('white', 0.7097)	None
ALLOCCO	('white', 0.9771)	-1
MANGONE	('white', 0.9511)	-1
MARINUCCI	('white', 0.9722)	-1
ANTHONY	('white', 0.6343)	('white', 'polish')
LINDGREN	('white', 0.9584)	('white', 'swedish')
POITIER	('black', 0.9362)	('white', 'french')
SIGNER	('white', 0.9433)	('white', 'dutch')
FOOTE	('white', 0.8316)	-1
LEPKOWSKI	('white', 0.9851000000000001)	('white', 'polish')
HOFACKER	('white', 0.9758)	('white', 'dutch')
DECESARE	('white', 0.9716)	-1
SIDLER	('white', 0.9420000000000001)	('white', 'dutch')
BIELAT	('white', 0.983)	-1
SILLA	('white', 0.5718)	('white', 'finnish')
MOTTLEY	('black', 0.5453)	-1
DUVA	('white', 0.9615)	None
AGUDELO	('hispanic', 0.9214)	-1
FRAIN	('white', 0.9636)	('white', 'dutch')
FRAIM	('white', 0.9367)	-1
BATTERSBY	('white', 0.9477)	('white', 'danish')
BIELAK	('white', 0.9772)	('white', 'polish')
SILLS	('white', 0.8255)	-1
ROSENQUIST	('white', 0.9516)	-1
LANG	('white', 0.8416)	None
STRENG	('white', 0.9726)	-1
LANE	('white', 0.7936)	None
LAND	('white', 0.8358)	None
APOLINAR	('hispanic', 0.8789)	-1
GRACI	('white', 0.9533)	-1
ENGELKE	('white', 0.9664)	-1
LANN	('white', 0.8798999999999999)	None
LANK	('white', 0.9333)	None
AVITABILE	('white', 0.9336)	-1
LANT	('white', 0.9634)	None
SEMAN	('white', 0.925)	('white', 'dutch')
SCHRADE	('white', 0.9634)	-1
SCHRUPP	('white', 0.9722)	-1
LANZ	('white', 0.8651000000000001)	None
MCALISTER	('white', 0.8469)	('white', 'dutch')
SLUTZ	('white', 0.9876999999999999)	-1
KONOPKA	('white', 0.9659)	('white', 'belarusian')
RECKNER	('white', 0.9470000000000001)	('white', 'dutch')
CROUTHAMEL	('white', 0.9782)	-1
BRITTENHAM	('white', 0.9369)	-1
HOPMAN	('white', 0.9534999999999999)	('white', 'dutch')
HAMID	('asian', 0.3529)	-1
BIELENBERG	('white', 0.9908)	('white', 'german')
ROUNSAVILLE	('white', 0.8898)	-1
HURSTON	('black', 0.5493)	('white', 'french')
DOWDEN	('white', 0.8741)	-1
GRACA	('white', 0.816)	-1
HAMIL	('white', 0.8922)	-1
RICKETTS	('white', 0.7635)	-1
SPAK	('white', 0.9865)	None
POTTENGER	('white', 0.9183)	('white', 'dutch')
SPAN	('black', 0.5458)	None
WITHERSPOON	('black', 0.613)	('white', 'french')
SPEER	('white', 0.9323)	('white', 'dutch')
CUNEO	('white', 0.8954000000000001)	-1
MITTLEMAN	('white', 0.9504)	('white', 'dutch')
ELFRINK	('white', 0.9829000000000001)	-1
SEAWRIGHT	('white', 0.4919)	-1
FIGURES	('black', 0.8268000000000001)	('white', 'greek')
MARAVILLA	('hispanic', 0.8835999999999999)	('white', 'finnish')
LAUNER	('white', 0.9438)	('white', 'dutch')
SPEED	('white', 0.6101)	-1
SPAW	('white', 0.9612999999999999)	None
CUNARD	('white', 0.975)	('white', 'french')
MCCRELESS	('white', 0.9533)	-1
SOKOLOSKI	('white', 0.977)	('white', 'polish')
JANOWIAK	('white', 0.9567)	('white', 'ukrainian')
SCHINDLER	('white', 0.9642000000000001)	('white', 'dutch')
DENNISTON	('white', 0.9488)	('white', 'french')
MATELSKI	('white', 0.9093000000000001)	('white', 'polish')
SANTAELLA	('hispanic', 0.8532)	('white', 'finnish')
KOVALESKI	('white', 0.9869)	('white', 'polish')
DECASAS	('hispanic', 0.9208)	('white', 'greek')
WEIHER	('white', 0.9642000000000001)	('white', 'dutch')
PUDER	('white', 0.9383)	('white', 'dutch')
AVAKIAN	('white', 0.9145)	('white', 'romanian')
LAMPERT	('white', 0.9619)	-1
BONHOMME	('black', 0.6543000000000001)	-1
PRYSOCK	('white', 0.486)	-1
TRUSZKOWSKI	('white', 0.9662000000000001)	('white', 'polish')
WHIGHAM	('white', 0.5448)	-1
PIPITONE	('white', 0.9645999999999999)	-1
WIMBUSH	('black', 0.8942)	-1
PLOOF	('white', 0.9677)	-1
GULLETT	('white', 0.9018)	-1
WOJTAS	('white', 0.9594)	('white', 'greek')
TOUMA	('white', 0.8228)	-1
CORD	('white', 0.8490000000000001)	None
CALCAGNO	('white', 0.9153)	-1
KAZANJIAN	('white', 0.9412999999999999)	('white', 'romanian')
ANSELMI	('white', 0.9052)	-1
VLAHAKIS	('white', 0.9305)	('white', 'lithuanian')
DEJAYNES	('white', 0.9840000000000001)	('white', 'greek')
RESENDIZ	('hispanic', 0.9662000000000001)	-1
GOLEMBESKI	('white', 0.9648)	('white', 'polish')
KEARNEY	('white', 0.7779)	-1
HENKELS	('white', 0.9743999999999999)	-1
BEHRLE	('white', 0.9734)	-1
WININGER	('white', 0.9754999999999999)	('white', 'dutch')
DICOLA	('white', 0.9711)	('white', 'finnish')
CAMARENA	('hispanic', 0.9470999999999999)	-1
CREDEUR	('white', 0.9873000000000001)	-1
ILIFF	('white', 0.951)	-1
SOAVE	('white', 0.9695999999999999)	-1
FAULSTICH	('white', 0.9423)	('white', 'belarusian')
DUSSAULT	('white', 0.9573999999999999)	-1
REINECK	('white', 0.9763)	-1
CHOINSKI	('white', 0.9789)	('white', 'polish')
CARAHER	('white', 0.9747)	('white', 'dutch')
LAFROMBOISE	('amInd', 0.4828)	-1
SWANGER	('white', 0.9608)	('white', 'dutch')
MCCAMBRIDGE	('white', 0.9603)	-1
TIPPETS	('white', 0.9555)	('white', 'ukrainian')
TIPPETT	('white', 0.9023)	-1
FANTA	('white', 0.7942)	-1
FRANCESCONI	('white', 0.9525)	-1
JOHNSRUD	('white', 0.9591)	('white', 'norwegian')
NUCKLES	('white', 0.8323999999999999)	('white', 'greek')
DEVINEY	('white', 0.9833)	-1
RAMDASS	('asian', 0.37270000000000003)	-1
FEILER	('white', 0.978)	('white', 'dutch')
TRESCH	('white', 0.9677)	-1
RADMAN	('white', 0.9211)	('white', 'dutch')
MATUSZAK	('white', 0.9815)	('white', 'polish')
SHUPING	('white', 0.9594)	('white', 'anglo-saxon')
REUTER	('white', 0.9643999999999999)	('white', 'dutch')
LARIS	('hispanic', 0.5285)	('white', 'lithuanian')
CHISM	('white', 0.6502)	-1
WOOLARD	('white', 0.8856999999999999)	('white', 'french')
KUBIN	('white', 0.9682999999999999)	('white', 'dutch')
HENDRYX	('white', 0.8853)	-1
BIRDEN	('black', 0.7225)	-1
FOBES	('white', 0.9668000000000001)	('white', 'greek')
WIXOM	('white', 0.9377)	-1
WIXON	('white', 0.8192)	('white', 'french')
HILYARD	('white', 0.8803)	('white', 'french')
KUBIC	('white', 0.9655)	-1
WILKER	('white', 0.8998)	('white', 'dutch')
WILKES	('white', 0.7120000000000001)	('white', 'greek')
DUPLECHAIN	('white', 0.7170000000000001)	('white', 'dutch')
NAIDU	('asian', 0.7622)	-1
FREGOSO	('hispanic', 0.9512999999999999)	-1
WILKEY	('white', 0.9144)	-1
BUTZIN	('white', 0.9462)	('white', 'dutch')
PICKERING	('white', 0.9006000000000001)	('white', 'anglo-saxon')
FASONE	('white', 0.9455)	-1
CLAYBROOK	('white', 0.6757)	('white', 'belarusian')
HARTIGAN	('white', 0.9788)	('white', 'romanian')
CALMA	('asian', 0.6725)	-1
FLORENCE	('white', 0.6163000000000001)	-1
TURGEON	('white', 0.951)	('white', 'french')
SPENCE	('white', 0.7573000000000001)	-1
FAYAD	('white', 0.7565999999999999)	-1
FAVRO	('white', 0.9470999999999999)	-1
HIPPE	('white', 0.9555)	-1
HANNING	('white', 0.9319)	('white', 'anglo-saxon')
GABRIELLE	('white', 0.8164)	-1
CANGEMI	('white', 0.9638)	-1
VARVEL	('white', 0.9317)	-1
MONDRY	('white', 0.9473999999999999)	-1
HIPPS	('white', 0.8748)	-1
ZIELKE	('white', 0.9649)	-1
TAVERNIER	('white', 0.8146)	('white', 'french')
MUNOS	('hispanic', 0.9077)	('white', 'greek')
SANVILLE	('white', 0.9567)	-1
KAMPHUIS	('white', 0.9745)	('white', 'lithuanian')
REDDOCH	('white', 0.9218999999999999)	-1
MUNOZ	('hispanic', 0.9261)	-1
FRASCO	('white', 0.8445999999999999)	-1
ALLMENDINGER	('white', 0.9673999999999999)	('white', 'dutch')
WARGA	('white', 0.9715)	-1
FRASCH	('white', 0.9609000000000001)	-1
PELSTER	('white', 0.9863)	('white', 'dutch')
WARGO	('white', 0.9736)	-1
FRASCA	('white', 0.9478)	-1
SCHOR	('white', 0.9553)	-1
SCHOW	('white', 0.9628)	('white', 'russian')
ROBEY	('white', 0.8843000000000001)	-1
ROZARIO	('asian', 0.5721)	-1
ROBEL	('white', 0.9181)	-1
KESTENBAUM	('white', 0.9515)	('white', 'german')
ROSENLUND	('white', 0.9659)	('white', 'swedish')
SCHON	('white', 0.953)	('white', 'french')
MASUR	('white', 0.9404)	-1
SIEBER	('white', 0.9525)	('white', 'dutch')
LOGHRY	('white', 0.9440999999999999)	-1
DELAND	('white', 0.9372)	('white', 'french')
DELANE	('white', 0.49329999999999996)	-1
VEASEY	('white', 0.6631)	-1
JARCHOW	('white', 0.9706)	('white', 'russian')
BROADHURST	('white', 0.8663)	-1
DELANO	('white', 0.9228000000000001)	('white', 'italian')
TANKARD	('black', 0.5569)	('white', 'french')
DURAN	('hispanic', 0.8517)	('white', 'romanian')
DRIGGERS	('white', 0.9388)	('white', 'dutch')
DELANY	('white', 0.902)	('white', 'polish')
SIEBEL	('white', 0.9594)	-1
BLOODSWORTH	('white', 0.902)	-1
GOODSON	('white', 0.7288)	('white', 'icelandic')
MAYNEZ	('hispanic', 0.9213)	('hispanic', 'spanish')
MESAROS	('white', 0.9598)	('white', 'greek')
RAMBERT	('black', 0.7231000000000001)	('white', 'dutch')
SARICH	('white', 0.9679000000000001)	('white', 'belarusian')
MAYNES	('white', 0.6289)	('white', 'greek')
WALDRIP	('white', 0.9258)	-1
BUENING	('white', 0.9881)	('white', 'anglo-saxon')
DAMELIO	('white', 0.9425)	-1
LAVERDIERE	('white', 0.9732999999999999)	-1
KOPERSKI	('white', 0.9715)	('white', 'polish')
COLLIGNON	('white', 0.9684999999999999)	('white', 'french')
FACTOR	('white', 0.6584)	-1
RAMBERG	('white', 0.9553)	('white', 'german')
WHIPKEY	('white', 0.9662999999999999)	-1
BISBEE	('white', 0.919)	-1
SCHWARTZ	('white', 0.9677)	-1
CRIM	('white', 0.8329000000000001)	None
GRANVILLE	('white', 0.5561)	-1
COMMERFORD	('white', 0.9655)	('white', 'english')
NEWBERG	('white', 0.9632999999999999)	('white', 'german')
MCANDREWS	('white', 0.9568000000000001)	-1
NEWBERN	('white', 0.6618999999999999)	-1
PERRET	('white', 0.8829)	('white', 'french')
GLASSCOCK	('white', 0.961)	-1
RUTLEDGE	('white', 0.7731999999999999)	-1
COWSER	('white', 0.6492)	('white', 'dutch')
BELTER	('white', 0.9606999999999999)	('white', 'dutch')
TERUYA	('asian', 0.8863)	-1
DAHLHEIMER	('white', 0.9828)	('white', 'dutch')
WESOLEK	('white', 0.9745)	('white', 'czech')
SPAMPINATO	('white', 0.95)	-1
LANTZ	('white', 0.9648)	-1
SHIFFMAN	('white', 0.9621999999999999)	('white', 'dutch')
HAINLINE	('white', 0.9592)	-1
GRIESINGER	('white', 0.978)	('white', 'dutch')
KERCHEVAL	('white', 0.8891)	-1
CAPONIGRO	('white', 0.9691)	-1
CALOCA	('hispanic', 0.9009)	-1
KOSIBA	('white', 0.975)	('white', 'abkhazian')
CULBERTSON	('white', 0.9248000000000001)	('white', 'icelandic')
INMAN	('white', 0.8983)	('white', 'dutch')
WHITSEL	('white', 0.9556)	-1
LYSTER	('white', 0.9492)	('white', 'dutch')
BROCKMEIER	('white', 0.9641)	('white', 'french')
LIEBLER	('white', 0.9589)	('white', 'dutch')
MULE	('white', 0.9231)	None
BUFFIN	('white', 0.49920000000000003)	('white', 'dutch')
HIGHLEY	('white', 0.9273)	-1
CRUMLEY	('white', 0.938)	-1
FACCHINI	('white', 0.9661)	-1
WETZLER	('white', 0.9515)	('white', 'dutch')
HINO	('asian', 0.6439)	None
ALVERSON	('white', 0.902)	('white', 'icelandic')
HOLLIBAUGH	('white', 0.9504)	-1
VIGNEAU	('white', 0.9669)	('white', 'belarusian')
JASS	('white', 0.7701)	None
LATTERELL	('white', 0.9748)	('white', 'english')
BUCHBINDER	('white', 0.9577)	('white', 'dutch')
CHOJNACKI	('white', 0.9641)	('white', 'polish')
RAFUSE	('white', 0.99)	-1
WOTTON	('white', 0.9763)	('white', 'french')
PINSKER	('white', 0.9645999999999999)	('white', 'dutch')
DEPAUL	('white', 0.9204000000000001)	-1
RODI	('white', 0.9295)	None
ANDREEN	('white', 0.9573999999999999)	-1
ORNDOFF	('white', 0.9661)	('white', 'russian')
SATTLER	('white', 0.9484999999999999)	('white', 'dutch')
HEPPNER	('white', 0.9559000000000001)	('white', 'dutch')
RODA	('white', 0.7807)	None
RODE	('white', 0.9489)	None
RODD	('white', 0.8265)	None
MARSOLEK	('white', 0.9779000000000001)	('white', 'czech')
HARRAH	('white', 0.9620000000000001)	-1
EVERHARDT	('white', 0.8822)	-1
HARRAL	('white', 0.9401999999999999)	-1
GERBIG	('white', 0.9765)	-1
RAIFORD	('white', 0.5012)	('white', 'english')
PERE	('white', 0.6173)	None
VIDRINE	('white', 0.9528)	-1
LORMAN	('white', 0.9814)	('white', 'dutch')
MUTCHLER	('white', 0.9687)	('white', 'dutch')
SCHAEFFER	('white', 0.9458)	('white', 'dutch')
RACCA	('white', 0.815)	-1
WINGERTER	('white', 0.9797)	('white', 'dutch')
ZIESMER	('white', 0.9215000000000001)	('white', 'dutch')
ALSOBROOK	('white', 0.7809999999999999)	('white', 'belarusian')
STAILEY	('white', 0.9672)	-1
CONKIN	('white', 0.9571999999999999)	('white', 'dutch')
BUDNY	('white', 0.981)	('white', 'polish')
JAKUBOWSKI	('white', 0.9615)	('white', 'polish')
BINGMAN	('white', 0.9314)	('white', 'dutch')
WENSEL	('white', 0.9764)	-1
AURIEMMA	('white', 0.9682999999999999)	-1
BURGARD	('white', 0.9521999999999999)	('white', 'french')
NIEVES	('hispanic', 0.9148000000000001)	('white', 'greek')
DICKE	('white', 0.9606999999999999)	-1
NATION	('white', 0.8201)	('white', 'french')
FLEENER	('white', 0.9634999999999999)	('white', 'dutch')
WETSEL	('white', 0.9576)	-1
FURNEY	('white', 0.9431)	-1
TAGLE	('hispanic', 0.6489)	-1
DRESDEN	('white', 0.9156)	-1
