alzobaidi,(0, (0.8042328042328042, 'garibaldi'), [1.4066696166992188e-05, 0.011327981948852539, 5.1021575927734375e-05]),(0, (0.8148148148148149, 'alba'), [0, 0.027718782424926758, 0])
beckham-taylor,(0, (0.7784391534391535, 'batchelor'), [2.002716064453125e-05, 0.032898902893066406, 4.696846008300781e-05]),(0, (0.8333333333333334, 'beckham'), [0, 0.029013872146606445, 0])
earngey,(0, (0.8809523809523809, 'greaney'), [1.5020370483398438e-05, 0.0024309158325195312, 3.504753112792969e-05]),(1, (0.9523809523809524, 'earney'), [0, 0.024708032608032227, 0])
horecho,(1, (0.9047619047619048, 'horch'), [1.0967254638671875e-05, 0.001569986343383789, 3.695487976074219e-05]),(1, (0.9047619047619048, 'horch'), [0, 0.02602982521057129, 0])
linendo,(0, (0.8690476190476191, 'lindon'), [1.0013580322265625e-05, 0.00362396240234375, 3.695487976074219e-05]),(1, (0.9047619047619048, 'linen'), [0, 0.025524139404296875, 0])
parshey,(1, (0.9047619047619048, 'parsley'), [1.0013580322265625e-05, 0.0067980289459228516, 4.100799560546875e-05]),(1, (0.9047619047619048, 'parsley'), [0, 0.027436017990112305, 0])
savage-ibrah,(0, (0.8333333333333334, 'savage'), [1.4066696166992188e-05, 0.01984405517578125, 4.601478576660156e-05]),(0, (0.8333333333333334, 'savage'), [0, 0.02676701545715332, 0])
slatterbeck,(0, (0.8927738927738927, 'schlotterbeck'), [1.5020370483398438e-05, 0.024299144744873047, 5.0067901611328125e-05]),(0, (0.8927738927738927, 'schlotterbeck'), [0, 0.029747962951660156, 0])
engene,(1, (0.9444444444444445, 'engen'), [1.4066696166992188e-05, 0.00601506233215332, 4.696846008300781e-05]),(1, (0.9444444444444445, 'engen'), [0, 0.02383899688720703, 0])
galvis,(1, (1.0, 'galvis'), [1.3828277587890625e-05, 0.010632038116455078, 3.910064697265625e-05]),(1, (1.0, 'galvis'), [0, 0.023563861846923828, 0])
mapoy,(0, (0.8083333333333332, 'moya'), [1.0967254638671875e-05, 0.0037679672241210938, 3.504753112792969e-05]),(0, (0.8777777777777778, 'campoy'), [0, 0.020798921585083008, 0])
budzinack,(0, (0.8888888888888888, 'budzik'), [1.1920928955078125e-05, 0.0016460418701171875, 3.600120544433594e-05]),(0, (0.8888888888888888, 'budzik'), [0, 0.02794504165649414, 0])
kendapady,(0, (0.7777777777777777, 'kanady'), [1.0967254638671875e-05, 0.008400917053222656, 5.507469177246094e-05]),(0, (0.7962962962962963, 'kenagy'), [0, 0.027943849563598633, 0])
poormand,(1, (0.9583333333333334, 'poorman'), [1.71661376953125e-05, 0.03263282775878906, 4.792213439941406e-05]),(1, (0.9583333333333334, 'poorman'), [0, 0.02628803253173828, 0])
blint,(0, (0.8666666666666667, 'blixt'), [1.2874603271484375e-05, 0.0014469623565673828, 3.409385681152344e-05]),(1, (0.9444444444444445, 'balint'), [0, 0.021831989288330078, 0])
klaschen,(0, (0.8194444444444445, 'kachel'), [1.0967254638671875e-05, 0.0034258365631103516, 3.600120544433594e-05]),(1, (0.9166666666666666, 'klasen'), [0, 0.0261080265045166, 0])
manet,(0, (0.8777777777777778, 'mantle'), [1.0013580322265625e-05, 0.021091938018798828, 5.1975250244140625e-05]),(1, (0.9333333333333332, 'mane'), [0, 0.023765087127685547, 0])
moran edelen,(0, (0.7888888888888891, 'vandermeulen'), [2.002716064453125e-05, 0.03411293029785156, 4.982948303222656e-05]),(0, (0.8333333333333334, 'morand'), [0, 0.03145194053649902, 0])
nalenz,(0, (0.8777777777777778, 'nanez'), [1.3828277587890625e-05, 0.015679121017456055, 5.507469177246094e-05]),(0, (0.8888888888888888, 'alen'), [0, 0.025241851806640625, 0])
cappai,(1, (0.9444444444444445, 'cappa'), [1.71661376953125e-05, 0.007308006286621094, 4.887580871582031e-05]),(1, (0.9444444444444445, 'cappa'), [0, 0.022342920303344727, 0])
croyder,(1, (0.9523809523809524, 'cryder'), [1.621246337890625e-05, 0.007118940353393555, 5.3882598876953125e-05]),(1, (0.9523809523809524, 'cryder'), [0, 0.025916099548339844, 0])
dao-woodman,(0, (0.7929292929292929, 'dawood'), [2.002716064453125e-05, 0.012902975082397461, 5.507469177246094e-05]),(0, (0.7929292929292929, 'dawood'), [0, 0.02802586555480957, 0])
ezerniece,(0, (0.75, 'eberlein'), [1.71661376953125e-05, 0.006523847579956055, 4.506111145019531e-05]),(0, (0.8055555555555555, 'ezernack'), [0, 0.029779911041259766, 0])
preshia,(0, (0.7936507936507936, 'pietras'), [1.1920928955078125e-05, 0.012290000915527344, 3.910064697265625e-05]),(1, (0.9047619047619048, 'prestia'), [0, 0.027868986129760742, 0])
