strategy,time,names,people
3distanceSearch,[247.0582230091095, 933, 95076]
strategy,time,names,people
2patternSearch,[133.9643199443817, 895, 7808]
strategy,time,names,people
1nameSearch,[3.2764978408813477, 383, 141314]
