MEADOWS             ,16836
LESTER              ,16835
GILLESPIE           ,16743
WINTERS             ,16732
FITZPATRICK         ,16502
CONRAD              ,16492
GENTRY              ,16314
GLASS               ,16305
BOYLE               ,16231
SOLIS               ,16230
JUAREZ              ,16184
CALDERON            ,16123
SEXTON              ,16104
RAYMOND             ,16034
LOWERY              ,15981
BENDER              ,15808
RIVAS               ,15782
VELEZ               ,15689
OCHOA               ,15671
HANNA               ,15652
VAUGHAN             ,15593
DELEON              ,15577
KRUEGER             ,15549
GALLEGOS            ,15512
MCMILLAN            ,15374
LYNN                ,15362
SHEPARD             ,15351
MCFARLAND           ,15242
HICKMAN             ,15237
DORSEY              ,15236
BLACKBURN           ,15234
SPEARS              ,15168
COSTA               ,15084
MCKAY               ,15060
MULLEN              ,15053
HAAS                ,15030
BENJAMIN            ,15008
AYERS               ,15002
FRY                 ,14897
RUSH                ,14857
STUART              ,14822
NOVAK               ,14769
JOYCE               ,14714
BENTON              ,14617
WALLS               ,14611
STANTON             ,14397
RASMUSSEN           ,14351
MCGRATH             ,14346
SANFORD             ,14302
SHEPPARD            ,14269
DODSON              ,14192
WHITNEY             ,14157
SPENCE              ,14132
ROSARIO             ,14113
RICHMOND            ,14059
DAVIES              ,14052
BAIRD               ,14037
MELENDEZ            ,14033
FAULKNER            ,14027
GOLDBERG            ,13864
MCPHERSON           ,13864
MCCARTY             ,13864
CASTANEDA           ,13778
CHERRY              ,13759
VALENCIA            ,13736
ESTES               ,13726
JARVIS              ,13724
GOLDSTEIN           ,13661
MADDOX              ,13651
HAYS                ,13604
HOOPER              ,13554
MERCER              ,13552
DUKE                ,13489
CHURCH              ,13398
COOKE               ,13391
MOONEY              ,13382
HESTER              ,13371
CARNEY              ,13348
FRITZ               ,13341
MALONEY             ,13217
ACEVEDO             ,13195
COWAN               ,13134
HATFIELD            ,13133
LUTZ                ,13118
WINTER              ,13054
VU                  ,13051
RIGGS               ,13031
TRUONG              ,13014
CHENG               ,12953
DAILEY              ,12950
HOLDER              ,12946
GORMAN              ,12848
BRAY                ,12837
EWING               ,12816
ARIAS               ,12783
NEWELL              ,12782
HANEY               ,12760
CONNOLLY            ,12748
OSBORN              ,12747
BRIGHT              ,12731
LAKE                ,12718
KIDD                ,12700
MACIAS              ,12683
GAMBLE              ,12680
SEARS               ,12670
LOZANO              ,12648
MCLEOD              ,12569
SPRINGER            ,12559
MCGOWAN             ,12556
BONNER              ,12513
BYERS               ,12491
BRANCH              ,12484
CARVER              ,12445
GOFF                ,12417
FULTON              ,12416
KEY                 ,12407
CONNOR              ,12368
CHANEY              ,12318
RICHTER             ,12312
MCDERMOTT           ,12241
STARR               ,12201
SUTHERLAND          ,12152
SWEET               ,12102
HELMS               ,12073
JUSTICE             ,12070
GIBBONS             ,12048
COTTON              ,12035
FINCH               ,12013
SHOEMAKER           ,12008
TRACY               ,11974
NOEL                ,11947
DOHERTY             ,11912
BACON               ,11879
WILDER              ,11835
DOTSON              ,11824
SHAPIRO             ,11801
WORKMAN             ,11775
HAINES              ,11746
KERN                ,11735
HEWITT              ,11707
SHARPE              ,11683
HOLLEY              ,11598
FRANKS              ,11598
SHEEHAN             ,11584
KIRKLAND            ,11569
CHIN                ,11526
JOYNER              ,11507
RITCHIE             ,11433
ROSSI               ,11403
FRASER              ,11320
GODFREY             ,11313
TAN                 ,11252
VALENZUELA          ,11247
HOLCOMB             ,11241
CASH                ,11230
ENGLAND             ,11215
ROSENBERG           ,11211
WYNN                ,11150
BONILLA             ,11144
SINGER              ,11138
ARTHUR              ,11114
PINEDA              ,11109
DICKINSON           ,11078
SORENSEN            ,11074
MORIN               ,11073
BRITTON             ,11034
HASTINGS            ,11029
MCKENNA             ,11025
CASSIDY             ,10937
ONEILL              ,10915
GOLDMAN             ,10913
BAUTISTA            ,10864
MEEKS               ,10863
HOLLIS              ,10847
BROUSSARD           ,10820
PIERSON             ,10805
CHILDS              ,10793
DYE                 ,10783
DEMPSEY             ,10781
ZUNIGA              ,10739
SARGENT             ,10695
VILLA               ,10683
KIRKPATRICK         ,10635
BOYCE               ,10590
DOWNEY              ,10587
MAGEE               ,10580
NIEVES              ,10578
BLOOM               ,10574
HOANG               ,10556
GRADY               ,10525
MCGINNIS            ,10498
CHRISTOPHER         ,10467
FIELD               ,10460
HEAD                ,10459
KENDRICK            ,10399
BUI                 ,10388
ABRAMS              ,10383
HATCH               ,10378
ACKERMAN            ,10376
WOODRUFF            ,10357
SHIRLEY             ,10332
HERBERT             ,10313
SWARTZ              ,10269
GARLAND             ,10244
KAUR                ,10179
ROUSE               ,10177
MCGILL              ,10165
PUCKETT             ,10160
STERLING            ,10109
PONCE               ,10093
GOSS                ,10075
LUND                ,10072
TOMLINSON           ,10061
GREGG               ,10044
SLAUGHTER           ,10007
ONEAL               ,9957
MAHER               ,9943
LOWRY               ,9937
HERRON              ,9917
MONTES              ,9905
DUARTE              ,9870
CISNEROS            ,9853
COUCH               ,9823
TAPIA               ,9821
WORLEY              ,9814
SWAIN               ,9813
QUINONES            ,9806
LOTT                ,9794
BOWDEN              ,9756
KIMBALL             ,9734
MARIN               ,9729
BELTRAN             ,9693
POLLOCK             ,9687
LARKIN              ,9646
MCCLELLAN           ,9627
CONNELL             ,9616
O'NEILL             ,9613
MCMANUS             ,9611
CLEMENT             ,9608
FUNK                ,9593
ROBISON             ,9591
SILVER              ,9586
CUEVAS              ,9584
ESPOSITO            ,9580
CLIFTON             ,9574
CORTES              ,9570
QUICK               ,9564
CROW                ,9531
KURTZ               ,9499
RUCKER              ,9474
ELDRIDGE            ,9473
HOLBROOK            ,9464
SANDERSON           ,9462
STROUD              ,9448
GROVES              ,9400
MCCAULEY            ,9398
ARELLANO            ,9391
WOLFF               ,9389
SIMMS               ,9383
MCELROY             ,9382
SWENSON             ,9382
GRIGGS              ,9370
HORNER              ,9368
REECE               ,9360
SHERIDAN            ,9353
SUN                 ,9351
CONKLIN             ,9341
MASTERS             ,9325
EDMONDS             ,9304
ENGEL               ,9284
HELTON              ,9261
YARBROUGH           ,9256
ZAVALA              ,9251
BATTLE              ,9250
CHILDRESS           ,9246
BLANTON             ,9240
DIAMOND             ,9235
INMAN               ,9230
CROUCH              ,9226
GEE                 ,9215
KUMAR               ,9212
DUNHAM              ,9137
BULLARD             ,9127
CHAPPELL            ,9122
PHIPPS              ,9118
YEAGER              ,9109
HOLLINGSWORTH       ,9091
COKER               ,9078
KOENIG              ,9056
PURCELL             ,9051
GAGNON              ,8979
GIVENS              ,8976
STRATTON            ,8951
AMES                ,8951
DAHL                ,8927
BOWLES              ,8904
COLVIN              ,8840
JARAMILLO           ,8819
MURILLO             ,8801
HAMMER              ,8799
WHALEY              ,8789
POE                 ,8784
HOSKINS             ,8775
PIPER               ,8773
TEMPLE              ,8770
FINN                ,8753
GRIMM               ,8740
METZGER             ,8736
MEADE               ,8733
SHERWOOD            ,8731
RAINEY              ,8713
WINN                ,8711
BUTCHER             ,8705
QUINTERO            ,8696
MAURER              ,8672
SCHAFFER            ,8670
ZHOU                ,8655
TOLBERT             ,8650
ENRIQUEZ            ,8617
BILLINGS            ,8589
PEACOCK             ,8576
SIERRA              ,8542
BERGERON            ,8490
TOTH                ,8489
HUERTA              ,8488
KANG                ,8480
SAENZ               ,8479
DUONG               ,8473
HEARD               ,8454
